Change Value of Parameter Value in Library  Old=2R New=3R01
Change Value of Parameter Value in Part R? Old=2R New=3R3
Change Value of Parameter Value in Part R? Old=2R New=3R9
Change Value of Parameter Value in Part R? Old=2R New=3R16
Change Value of Parameter Value in Part R? Old=2R New=3R24
Change Value of Parameter Value in Part R? Old=2R New=3R32
Change Value of Parameter Value in Part R? Old=2R New=3R48
Change Value of Parameter Value in Part R? Old=2R New=3R65
Change Value of Parameter Value in Part R? Old=2R New=3R74
Change Value of Parameter Value in Part R? Old=2R New=3R83
Change Value of Parameter Value in Part R? Old=2R New=3R92
Change Value of Parameter Value in Part R? Old=2R New=3R
